"date","num","num2","str","str2"
"2014-02-02","163","228.008186","girl","blue"
"2014-02-10","404","223.696054","boy","yellow"
"2014-04-10","640","546.914156","girl","blue"
"2014-05-21","716","150.970315","boy","blue"
"2014-06-17","840","677.569340","boy","green"
"2014-06-18","89","886.821335","girl","yellow"
"2014-06-29","712","621.268764","girl","purple"
"2014-06-30","17","601.519595","girl","yellow"
"2014-07-16","465","915.903125","boy","yellow"
"2014-08-01","747","985.963559","girl","red"
"2014-09-02","632","751.218997","boy","purple"
"2014-09-24","535","547.926701","girl","red"
"2014-09-26","364","411.543364","boy","green"
"2014-10-27","645","640.179507","girl","green"
"2014-10-31","675","854.048412","girl","purple"
"2014-12-24","486","414.119996","boy","purple"
"2015-01-04","780","288.186591","boy","yellow"
"2015-03-06","811","994.480772","girl","yellow"
"2015-07-17","945","606.524613","boy","purple"
"2015-07-21","418","898.033213","boy","green"
"2015-07-30","745","432.704736","boy","blue"
"2015-08-17","672","11.854122","boy","red"
"2015-09-18","88","695.039842","boy","yellow"
"2015-09-19","713","691.495705","boy","blue"
"2015-10-18","139","567.258159","girl","blue"
"2015-10-19","57","227.361588","boy","blue"
"2015-11-09","785","400.232751","boy","purple"
"2015-11-11","566","714.604219","girl","green"
"2015-12-06","708","921.262967","boy","blue"
"2016-01-07","280","547.566107","girl","purple"
"2016-02-01","134","507.866612","boy","blue"
"2016-03-16","641","371.223955","boy","yellow"
"2016-03-18","382","719.627509","girl","purple"
"2016-04-04","106","964.766890","girl","purple"
"2016-04-11","222","544.203799","boy","green"
"2016-06-04","244","304.586965","boy","blue"
"2016-06-05","803","195.320199","girl","yellow"
"2016-06-07","496","97.216089","boy","green"
"2016-06-10","153","470.151288","girl","purple"
"2016-06-17","283","345.958037","girl","yellow"
"2016-06-26","752","611.206981","girl","purple"
"2016-06-26","535","552.444083","girl","blue"
"2016-06-28","835","600.915104","boy","purple"
"2016-07-04","797","637.170573","boy","blue"
"2016-07-17","828","929.871766","girl","purple"
"2016-07-26","119","775.553709","girl","blue"
"2016-08-09","757","470.766500","girl","blue"
"2016-08-17","580","993.484181","boy","yellow"
"2016-08-27","888","534.758958","girl","purple"
"2016-09-17","185","297.697288","girl","red"
