"date","num","num2","str","str2"
"2014-01-06","125","668.295128","boy","green"
"2014-01-14","522","652.291367","girl","purple"
"2014-01-20","253","338.265788","boy","blue"
"2014-01-21","150","910.590922","girl","green"
"2014-01-31","144","567.488891","boy","red"
"2014-02-07","471","595.269196","girl","green"
"2014-02-28","594","150.219105","boy","yellow"
"2014-05-12","581","17.512909","boy","yellow"
"2014-05-16","278","438.190214","girl","blue"
"2014-05-26","934","661.685252","girl","purple"
"2014-06-24","488","245.272122","girl","purple"
"2014-06-28","897","419.714523","girl","green"
"2014-07-12","454","624.452846","boy","blue"
"2014-09-26","41","922.280379","girl","blue"
"2014-10-01","81","936.388906","boy","red"
"2014-11-21","758","111.284743","boy","red"
"2015-01-01","268","195.040966","boy","red"
"2015-01-09","453","925.336124","boy","red"
"2015-01-18","955","985.967896","boy","blue"
"2015-01-20","969","925.529890","girl","blue"
"2015-02-14","724","542.717211","boy","blue"
"2015-03-09","562","365.074066","girl","red"
"2015-04-04","82","783.374776","boy","green"
"2015-05-03","809","187.048388","girl","blue"
"2015-05-25","468","950.382179","boy","green"
"2015-07-15","79","501.374521","girl","yellow"
"2015-07-26","93","584.403097","girl","yellow"
"2015-08-16","788","413.658141","girl","red"
"2015-09-28","447","488.822360","boy","purple"
"2015-11-14","111","180.515134","girl","purple"
"2015-11-23","980","923.518709","boy","blue"
"2015-12-03","64","589.508141","boy","red"
"2015-12-15","2","667.337978","girl","yellow"
"2015-12-28","630","637.317592","boy","blue"
"2015-12-28","380","691.086607","girl","yellow"
"2016-01-02","442","224.557016","girl","green"
"2016-01-06","478","630.460574","boy","purple"
"2016-01-07","260","8.876370","boy","purple"
"2016-02-05","290","729.342358","boy","green"
"2016-02-21","542","158.046511","boy","blue"
"2016-03-01","687","574.464611","girl","blue"
"2016-03-07","674","636.823111","boy","red"
"2016-03-09","909","823.410822","boy","red"
"2016-03-12","771","164.359031","boy","blue"
"2016-04-08","447","590.337426","boy","yellow"
"2016-05-15","603","640.702226","girl","purple"
"2016-07-06","369","26.907452","boy","red"
"2016-07-14","237","274.826712","girl","blue"
"2016-09-17","358","154.213032","boy","purple"
"2016-09-20","637","681.597289","girl","purple"
